"OriginalDataSetName" "TidyDataSetName"
"fBodyBodyAccJerkMag-meanFreq()" "omitted"
"fBodyBodyAccJerkMag-skewness()" "omitted"
"fBodyBodyAccJerkMag-kurtosis()" "omitted"
"fBodyBodyGyroMag-mean()" "FrequencyBodyBodyGyroscopeMagMean"
"fBodyBodyGyroMag-std()" "FrequencyBodyBodyGyroscopeMagStd"
"fBodyBodyGyroMag-mad()" "omitted"
"fBodyBodyGyroMag-max()" "omitted"
"fBodyBodyGyroMag-min()" "omitted"
"fBodyBodyGyroMag-sma()" "omitted"
"fBodyBodyGyroMag-energy()" "omitted"
"fBodyBodyGyroMag-iqr()" "omitted"
"fBodyBodyGyroMag-entropy()" "omitted"
"fBodyBodyGyroMag-maxInds" "omitted"
"fBodyBodyGyroMag-meanFreq()" "omitted"
"fBodyBodyGyroMag-skewness()" "omitted"
"fBodyBodyGyroMag-kurtosis()" "omitted"
"fBodyBodyGyroJerkMag-mean()" "FrequencyBodyBodyGyroscopeJerkMagMean"
"fBodyBodyGyroJerkMag-std()" "FrequencyBodyBodyGyroscopeJerkMagStd"
"fBodyBodyGyroJerkMag-mad()" "omitted"
"fBodyBodyGyroJerkMag-max()" "omitted"
"fBodyBodyGyroJerkMag-min()" "omitted"
"fBodyBodyGyroJerkMag-sma()" "omitted"
"fBodyBodyGyroJerkMag-energy()" "omitted"
"fBodyBodyGyroJerkMag-iqr()" "omitted"
"fBodyBodyGyroJerkMag-entropy()" "omitted"
"fBodyBodyGyroJerkMag-maxInds" "omitted"
"fBodyBodyGyroJerkMag-meanFreq()" "omitted"
"fBodyBodyGyroJerkMag-skewness()" "omitted"
"fBodyBodyGyroJerkMag-kurtosis()" "omitted"
"angle(tBodyAccMean,gravity)" "omitted"
"angle(tBodyAccJerkMean),gravityMean)" "omitted"
"angle(tBodyGyroMean,gravityMean)" "omitted"
"angle(tBodyGyroJerkMean,gravityMean)" "omitted"
"angle(X,gravityMean)" "omitted"
"angle(Y,gravityMean)" "omitted"
"angle(Z,gravityMean)" "omitted"
